,P.S1,P.C1,P.S2,P.C2,F.S1,F.C1,F.S2,F.C2,F.S3,F.C3,T.S4,T.C4,R.S5,R.C5,Rank,Winner
Player 2 Game 3941,Diamonds,8,Spades,9,Diamonds,K,Hearts,9,Hearts,8,Clubs,K,Clubs,6,Two Pair,0
Player 1 Game 3942,Hearts,4,Diamonds,K,Diamonds,9,Hearts,10,Hearts,J,Hearts,5,Diamonds,A,High Card,2
Player 2 Game 3942,Spades,K,Hearts,3,Diamonds,9,Hearts,10,Hearts,J,Hearts,5,Diamonds,A,High Card,2
Player 1 Game 3943,Hearts,4,Diamonds,2,Spades,10,Hearts,3,Clubs,10,Hearts,K,Clubs,6,One Pair,0
Player 2 Game 3943,Clubs,9,Clubs,8,Spades,10,Hearts,3,Clubs,10,Hearts,K,Clubs,6,One Pair,1
Player 1 Game 3944,Diamonds,J,Hearts,10,Spades,K,Diamonds,9,Diamonds,10,Hearts,9,Diamonds,K,Two Pair,0
Player 2 Game 3944,Hearts,6,Diamonds,6,Spades,K,Diamonds,9,Diamonds,10,Hearts,9,Diamonds,K,Straight,1
Player 1 Game 3945,Hearts,4,Clubs,K,Hearts,3,Hearts,Q,Diamonds,K,Spades,10,Clubs,A,One Pair,1
Player 2 Game 3945,Spades,4,Diamonds,Q,Hearts,3,Hearts,Q,Diamonds,K,Spades,10,Clubs,A,One Pair,0
Player 1 Game 3946,Spades,4,Diamonds,10,Diamonds,4,Spades,3,Spades,A,Hearts,7,Diamonds,9,One Pair,1
Player 2 Game 3946,Diamonds,5,Hearts,8,Diamonds,4,Spades,3,Spades,A,Hearts,7,Diamonds,9,High Card,0
Player 1 Game 3947,Hearts,10,Hearts,A,Hearts,J,Hearts,3,Spades,2,Spades,J,Hearts,9,Flush,1
Player 2 Game 3947,Hearts,7,Clubs,9,Hearts,J,Hearts,3,Spades,2,Spades,J,Hearts,9,Two Pair,0
Player 1 Game 3948,Diamonds,9,Hearts,Q,Hearts,A,Hearts,2,Diamonds,A,Clubs,J,Spades,6,Straight,1
Player 2 Game 3948,Diamonds,5,Spades,2,Hearts,A,Hearts,2,Diamonds,A,Clubs,J,Spades,6,Two Pair,0
Player 1 Game 3949,Clubs,5,Hearts,8,Spades,K,Spades,6,Hearts,K,Hearts,3,Hearts,2,One Pair,0
Player 2 Game 3949,Diamonds,A,Hearts,9,Spades,K,Spades,6,Hearts,K,Hearts,3,Hearts,2,One Pair,1
Player 1 Game 3950,Spades,K,Hearts,5,Hearts,K,Clubs,A,Clubs,7,Spades,9,Hearts,10,One Pair,1
Player 2 Game 3950,Diamonds,9,Clubs,J,Hearts,K,Clubs,A,Clubs,7,Spades,9,Hearts,10,One Pair,0
Player 1 Game 3951,Spades,A,Diamonds,A,Clubs,8,Hearts,10,Spades,5,Hearts,9,Hearts,5,Two Pair,1
Player 2 Game 3951,Clubs,Q,Diamonds,4,Clubs,8,Hearts,10,Spades,5,Hearts,9,Hearts,5,One Pair,0
Player 1 Game 3952,Hearts,3,Clubs,5,Hearts,7,Hearts,K,Spades,7,Clubs,K,Hearts,9,Two Pair,0
Player 2 Game 3952,Hearts,10,Spades,Q,Hearts,7,Hearts,K,Spades,7,Clubs,K,Hearts,9,Two Pair,1
Player 1 Game 3953,Hearts,3,Hearts,J,Spades,6,Diamonds,5,Diamonds,6,Hearts,A,Clubs,6,Three of a Kind,0
Player 2 Game 3953,Diamonds,Q,Hearts,5,Spades,6,Diamonds,5,Diamonds,6,Hearts,A,Clubs,6,Full House,1
Player 1 Game 3954,Hearts,4,Spades,8,Hearts,2,Spades,Q,Diamonds,4,Clubs,10,Clubs,K,One Pair,0
Player 2 Game 3954,Spades,K,Diamonds,2,Hearts,2,Spades,Q,Diamonds,4,Clubs,10,Clubs,K,Two Pair,1
Player 1 Game 3955,Diamonds,5,Spades,2,Spades,6,Diamonds,10,Spades,J,Diamonds,K,Spades,10,One Pair,0
Player 2 Game 3955,Diamonds,J,Diamonds,3,Spades,6,Diamonds,10,Spades,J,Diamonds,K,Spades,10,Straight,1
Player 1 Game 3956,Clubs,7,Clubs,K,Clubs,6,Diamonds,7,Hearts,8,Diamonds,8,Hearts,4,Two Pair,0
Player 2 Game 3956,Spades,K,Clubs,8,Clubs,6,Diamonds,7,Hearts,8,Diamonds,8,Hearts,4,Three of a Kind,1
Player 1 Game 3957,Spades,K,Diamonds,9,Spades,2,Diamonds,5,Diamonds,3,Clubs,9,Spades,J,One Pair,0
Player 2 Game 3957,Clubs,10,Diamonds,10,Spades,2,Diamonds,5,Diamonds,3,Clubs,9,Spades,J,Straight,1
Player 1 Game 3958,Hearts,Q,Spades,10,Clubs,Q,Spades,6,Diamonds,9,Clubs,9,Hearts,A,Two Pair,2
Player 2 Game 3958,Hearts,2,Diamonds,Q,Clubs,Q,Spades,6,Diamonds,9,Clubs,9,Hearts,A,Two Pair,2
Player 1 Game 3959,Diamonds,9,Clubs,3,Spades,6,Spades,K,Clubs,2,Hearts,7,Diamonds,8,High Card,0
Player 2 Game 3959,Hearts,A,Spades,Q,Spades,6,Spades,K,Clubs,2,Hearts,7,Diamonds,8,High Card,1
Player 1 Game 3960,Diamonds,4,Clubs,2,Hearts,8,Spades,10,Hearts,Q,Clubs,J,Diamonds,Q,One Pair,0
Player 2 Game 3960,Clubs,5,Diamonds,9,Hearts,8,Spades,10,Hearts,Q,Clubs,J,Diamonds,Q,Straight,1
Player 1 Game 3961,Diamonds,4,Hearts,2,Spades,Q,Spades,J,Diamonds,6,Spades,4,Clubs,A,One Pair,1
Player 2 Game 3961,Hearts,10,Clubs,7,Spades,Q,Spades,J,Diamonds,6,Spades,4,Clubs,A,High Card,0
Player 1 Game 3962,Hearts,J,Hearts,7,Diamonds,4,Spades,10,Clubs,3,Diamonds,Q,Spades,J,One Pair,1
Player 2 Game 3962,Hearts,5,Diamonds,9,Diamonds,4,Spades,10,Clubs,3,Diamonds,Q,Spades,J,High Card,0
Player 1 Game 3963,Hearts,10,Spades,Q,Diamonds,Q,Diamonds,K,Hearts,K,Clubs,9,Hearts,8,Two Pair,0
Player 2 Game 3963,Diamonds,2,Diamonds,7,Diamonds,Q,Diamonds,K,Hearts,K,Clubs,9,Hearts,8,Straight,1
Player 1 Game 3964,Clubs,A,Diamonds,K,Spades,J,Clubs,8,Spades,Q,Hearts,5,Clubs,K,One Pair,0
Player 2 Game 3964,Hearts,A,Spades,A,Spades,J,Clubs,8,Spades,Q,Hearts,5,Clubs,K,One Pair,1
Player 1 Game 3965,Spades,9,Diamonds,3,Hearts,9,Spades,3,Diamonds,7,Diamonds,J,Hearts,10,Two Pair,0
Player 2 Game 3965,Clubs,4,Hearts,8,Hearts,9,Spades,3,Diamonds,7,Diamonds,J,Hearts,10,Straight,1
Player 1 Game 3966,Diamonds,9,Hearts,6,Hearts,5,Spades,2,Diamonds,3,Diamonds,7,Diamonds,K,High Card,0
Player 2 Game 3966,Diamonds,J,Clubs,5,Hearts,5,Spades,2,Diamonds,3,Diamonds,7,Diamonds,K,One Pair,1
Player 1 Game 3967,Diamonds,J,Hearts,8,Diamonds,10,Clubs,9,Hearts,Q,Diamonds,6,Spades,10,One Pair,0
Player 2 Game 3967,Hearts,K,Spades,8,Diamonds,10,Clubs,9,Hearts,Q,Diamonds,6,Spades,10,One Pair,1
Player 1 Game 3968,Diamonds,10,Hearts,J,Clubs,K,Spades,9,Diamonds,5,Diamonds,2,Spades,Q,Straight,2
Player 2 Game 3968,Clubs,9,Diamonds,Q,Clubs,K,Spades,9,Diamonds,5,Diamonds,2,Spades,Q,Straight,2
Player 1 Game 3969,Clubs,10,Spades,2,Diamonds,3,Spades,K,Diamonds,5,Clubs,4,Hearts,5,One Pair,0
Player 2 Game 3969,Clubs,J,Clubs,5,Diamonds,3,Spades,K,Diamonds,5,Clubs,4,Hearts,5,Three of a Kind,1
Player 1 Game 3970,Spades,4,Spades,A,Spades,J,Hearts,Q,Spades,7,Hearts,4,Hearts,K,One Pair,0
Player 2 Game 3970,Diamonds,J,Clubs,A,Spades,J,Hearts,Q,Spades,7,Hearts,4,Hearts,K,One Pair,1
Player 1 Game 3971,Hearts,K,Clubs,5,Diamonds,3,Hearts,9,Hearts,8,Diamonds,5,Hearts,5,Three of a Kind,1
Player 2 Game 3971,Diamonds,7,Clubs,10,Diamonds,3,Hearts,9,Hearts,8,Diamonds,5,Hearts,5,One Pair,0
Player 1 Game 3972,Hearts,6,Clubs,8,Diamonds,J,Hearts,9,Diamonds,9,Spades,A,Diamonds,6,Two Pair,0
Player 2 Game 3972,Diamonds,3,Hearts,8,Diamonds,J,Hearts,9,Diamonds,9,Spades,A,Diamonds,6,Straight,1
Player 1 Game 3973,Spades,6,Hearts,A,Diamonds,J,Clubs,8,Clubs,5,Spades,4,Spades,Q,High Card,0
Player 2 Game 3973,Hearts,J,Hearts,8,Diamonds,J,Clubs,8,Clubs,5,Spades,4,Spades,Q,Straight,1
Player 1 Game 3974,Clubs,Q,Clubs,8,Diamonds,4,Clubs,9,Spades,A,Hearts,2,Diamonds,5,High Card,0
Player 2 Game 3974,Diamonds,2,Hearts,K,Diamonds,4,Clubs,9,Spades,A,Hearts,2,Diamonds,5,One Pair,1
Player 1 Game 3975,Diamonds,5,Diamonds,3,Clubs,K,Clubs,6,Diamonds,A,Diamonds,J,Spades,8,High Card,0
Player 2 Game 3975,Clubs,8,Spades,6,Clubs,K,Clubs,6,Diamonds,A,Diamonds,J,Spades,8,Two Pair,1
Player 1 Game 3976,Clubs,4,Diamonds,8,Spades,4,Diamonds,K,Hearts,8,Diamonds,2,Diamonds,9,Two Pair,1
Player 2 Game 3976,Diamonds,5,Hearts,2,Spades,4,Diamonds,K,Hearts,8,Diamonds,2,Diamonds,9,One Pair,0
Player 1 Game 3977,Spades,5,Hearts,K,Clubs,3,Spades,A,Spades,3,Hearts,6,Hearts,8,One Pair,1
Player 2 Game 3977,Clubs,9,Clubs,7,Clubs,3,Spades,A,Spades,3,Hearts,6,Hearts,8,One Pair,0
Player 1 Game 3978,Diamonds,Q,Clubs,4,Spades,7,Spades,8,Diamonds,J,Hearts,2,Spades,4,One Pair,0
Player 2 Game 3978,Spades,9,Hearts,8,Spades,7,Spades,8,Diamonds,J,Hearts,2,Spades,4,One Pair,1
Player 1 Game 3979,Spades,A,Hearts,9,Diamonds,6,Hearts,A,Spades,4,Spades,5,Clubs,7,One Pair,0
Player 2 Game 3979,Clubs,A,Diamonds,5,Diamonds,6,Hearts,A,Spades,4,Spades,5,Clubs,7,Two Pair,1
Player 1 Game 3980,Clubs,K,Clubs,J,Hearts,K,Clubs,2,Clubs,6,Hearts,3,Hearts,9,One Pair,1
Player 2 Game 3980,Spades,5,Hearts,J,Hearts,K,Clubs,2,Clubs,6,Hearts,3,Hearts,9,High Card,0
Player 1 Game 3981,Hearts,A,Diamonds,9,Clubs,3,Diamonds,5,Clubs,6,Spades,2,Diamonds,4,Straight,2
Player 2 Game 3981,Clubs,9,Hearts,K,Clubs,3,Diamonds,5,Clubs,6,Spades,2,Diamonds,4,Straight,2
Player 1 Game 3982,Clubs,7,Spades,J,Hearts,K,Hearts,7,Diamonds,6,Spades,Q,Hearts,J,Two Pair,1
Player 2 Game 3982,Hearts,A,Diamonds,7,Hearts,K,Hearts,7,Diamonds,6,Spades,Q,Hearts,J,One Pair,0
Player 1 Game 3983,Spades,5,Diamonds,J,Clubs,3,Clubs,J,Diamonds,6,Hearts,A,Spades,J,Three of a Kind,1
Player 2 Game 3983,Hearts,K,Spades,8,Clubs,3,Clubs,J,Diamonds,6,Hearts,A,Spades,J,One Pair,0
Player 1 Game 3984,Clubs,8,Diamonds,5,Spades,A,Clubs,3,Spades,3,Spades,7,Clubs,2,One Pair,0
Player 2 Game 3984,Spades,9,Diamonds,2,Spades,A,Clubs,3,Spades,3,Spades,7,Clubs,2,Two Pair,1
Player 1 Game 3985,Hearts,9,Hearts,3,Diamonds,J,Diamonds,5,Clubs,8,Spades,8,Spades,5,Straight,0
Player 2 Game 3985,Diamonds,9,Diamonds,8,Diamonds,J,Diamonds,5,Clubs,8,Spades,8,Spades,5,Full House,1
Player 1 Game 3986,Hearts,8,Hearts,J,Hearts,9,Spades,4,Spades,6,Clubs,Q,Clubs,J,Straight,1
Player 2 Game 3986,Clubs,4,Diamonds,J,Hearts,9,Spades,4,Spades,6,Clubs,Q,Clubs,J,Two Pair,0
Player 1 Game 3987,Hearts,Q,Clubs,7,Hearts,4,Diamonds,K,Hearts,J,Diamonds,3,Diamonds,10,High Card,0
Player 2 Game 3987,Clubs,A,Diamonds,5,Hearts,4,Diamonds,K,Hearts,J,Diamonds,3,Diamonds,10,High Card,1
Player 1 Game 3988,Hearts,3,Spades,4,Hearts,2,Spades,9,Hearts,K,Hearts,4,Clubs,J,One Pair,0
Player 2 Game 3988,Hearts,10,Spades,J,Hearts,2,Spades,9,Hearts,K,Hearts,4,Clubs,J,Straight,1
Player 1 Game 3989,Spades,8,Spades,K,Clubs,10,Hearts,6,Diamonds,8,Clubs,K,Clubs,9,Two Pair,1
Player 2 Game 3989,Clubs,8,Diamonds,7,Clubs,10,Hearts,6,Diamonds,8,Clubs,K,Clubs,9,One Pair,0
Player 1 Game 3990,Spades,A,Hearts,7,Spades,5,Diamonds,5,Spades,3,Spades,4,Clubs,K,One Pair,1
Player 2 Game 3990,Diamonds,10,Clubs,2,Spades,5,Diamonds,5,Spades,3,Spades,4,Clubs,K,One Pair,0
Player 1 Game 3991,Spades,9,Hearts,5,Spades,4,Spades,2,Diamonds,K,Spades,7,Hearts,6,High Card,0
Player 2 Game 3991,Spades,8,Spades,10,Spades,4,Spades,2,Diamonds,K,Spades,7,Hearts,6,Flush,1
Player 1 Game 3992,Hearts,Q,Spades,8,Hearts,A,Diamonds,6,Clubs,2,Hearts,J,Spades,3,High Card,0
Player 2 Game 3992,Hearts,4,Diamonds,A,Hearts,A,Diamonds,6,Clubs,2,Hearts,J,Spades,3,One Pair,1
Player 1 Game 3993,Hearts,7,Diamonds,2,Spades,10,Clubs,2,Diamonds,10,Clubs,K,Diamonds,4,Two Pair,1
Player 2 Game 3993,Diamonds,9,Diamonds,6,Spades,10,Clubs,2,Diamonds,10,Clubs,K,Diamonds,4,One Pair,0
Player 1 Game 3994,Clubs,J,Clubs,4,Diamonds,A,Hearts,9,Diamonds,7,Spades,7,Clubs,5,One Pair,0
Player 2 Game 3994,Clubs,10,Spades,10,Diamonds,A,Hearts,9,Diamonds,7,Spades,7,Clubs,5,Two Pair,1
Player 1 Game 3995,Clubs,A,Clubs,K,Clubs,4,Diamonds,K,Clubs,Q,Diamonds,7,Spades,Q,Two Pair,0
Player 2 Game 3995,Hearts,Q,Clubs,9,Clubs,4,Diamonds,K,Clubs,Q,Diamonds,7,Spades,Q,Three of a Kind,1
Player 1 Game 3996,Clubs,10,Diamonds,9,Spades,9,Clubs,2,Hearts,A,Spades,7,Hearts,K,One Pair,0
Player 2 Game 3996,Diamonds,5,Diamonds,A,Spades,9,Clubs,2,Hearts,A,Spades,7,Hearts,K,One Pair,1
Player 1 Game 3997,Diamonds,3,Clubs,3,Spades,K,Spades,J,Hearts,4,Clubs,8,Hearts,3,Three of a Kind,1
Player 2 Game 3997,Spades,9,Spades,10,Spades,K,Spades,J,Hearts,4,Clubs,8,Hearts,3,High Card,0
Player 1 Game 3998,Spades,5,Diamonds,3,Diamonds,2,Hearts,9,Clubs,2,Diamonds,Q,Hearts,3,Straight,1
Player 2 Game 3998,Hearts,J,Diamonds,K,Diamonds,2,Hearts,9,Clubs,2,Diamonds,Q,Hearts,3,One Pair,0
Player 1 Game 3999,Diamonds,3,Diamonds,Q,Diamonds,8,Clubs,2,Spades,A,Diamonds,2,Clubs,4,One Pair,0
Player 2 Game 3999,Clubs,8,Diamonds,K,Diamonds,8,Clubs,2,Spades,A,Diamonds,2,Clubs,4,Two Pair,1
Player 1 Game 4000,Clubs,K,Diamonds,9,Clubs,5,Hearts,A,Clubs,10,Diamonds,J,Spades,J,One Pair,0
Player 2 Game 4000,Spades,K,Hearts,8,Clubs,5,Hearts,A,Clubs,10,Diamonds,J,Spades,J,Straight,1
Player 1 Game 4001,Diamonds,3,Spades,A,Hearts,4,Hearts,2,Clubs,3,Diamonds,A,Spades,Q,Two Pair,1
Player 2 Game 4001,Clubs,4,Spades,J,Hearts,4,Hearts,2,Clubs,3,Diamonds,A,Spades,Q,One Pair,0
Player 1 Game 4002,Clubs,8,Diamonds,4,Spades,10,Hearts,10,Spades,8,Spades,K,Diamonds,J,Straight,0
Player 2 Game 4002,Clubs,K,Spades,6,Spades,10,Hearts,10,Spades,8,Spades,K,Diamonds,J,Straight,1
Player 1 Game 4003,Clubs,2,Hearts,7,Hearts,6,Hearts,3,Hearts,J,Clubs,6,Clubs,A,One Pair,0
Player 2 Game 4003,Diamonds,9,Hearts,K,Hearts,6,Hearts,3,Hearts,J,Clubs,6,Clubs,A,One Pair,1
Player 1 Game 4004,Diamonds,J,Diamonds,7,Spades,A,Diamonds,5,Clubs,A,Diamonds,6,Hearts,4,One Pair,0
Player 2 Game 4004,Clubs,K,Hearts,5,Spades,A,Diamonds,5,Clubs,A,Diamonds,6,Hearts,4,Two Pair,1
Player 1 Game 4005,Spades,4,Spades,10,Diamonds,6,Spades,K,Spades,6,Clubs,A,Diamonds,A,Two Pair,2
Player 2 Game 4005,Clubs,9,Spades,J,Diamonds,6,Spades,K,Spades,6,Clubs,A,Diamonds,A,Two Pair,2
Player 1 Game 4006,Clubs,A,Clubs,7,Spades,10,Diamonds,6,Spades,4,Diamonds,8,Hearts,J,High Card,0
Player 2 Game 4006,Spades,Q,Diamonds,4,Spades,10,Diamonds,6,Spades,4,Diamonds,8,Hearts,J,One Pair,1
Player 1 Game 4007,Clubs,6,Hearts,4,Hearts,J,Hearts,9,Diamonds,Q,Clubs,9,Hearts,2,One Pair,0
Player 2 Game 4007,Hearts,7,Spades,8,Hearts,J,Hearts,9,Diamonds,Q,Clubs,9,Hearts,2,Straight,1
Player 1 Game 4008,Hearts,9,Hearts,K,Hearts,5,Diamonds,10,Diamonds,9,Clubs,J,Diamonds,4,One Pair,0
Player 2 Game 4008,Diamonds,A,Clubs,10,Hearts,5,Diamonds,10,Diamonds,9,Clubs,J,Diamonds,4,Straight,1
Player 1 Game 4009,Diamonds,3,Spades,J,Diamonds,10,Hearts,K,Spades,6,Hearts,9,Hearts,J,One Pair,0
Player 2 Game 4009,Diamonds,A,Clubs,J,Diamonds,10,Hearts,K,Spades,6,Hearts,9,Hearts,J,One Pair,1
Player 1 Game 4010,Clubs,8,Clubs,Q,Hearts,Q,Clubs,6,Diamonds,K,Diamonds,Q,Spades,J,Three of a Kind,1
Player 2 Game 4010,Diamonds,J,Clubs,9,Hearts,Q,Clubs,6,Diamonds,K,Diamonds,Q,Spades,J,Two Pair,0
Player 1 Game 4011,Spades,2,Clubs,7,Spades,Q,Diamonds,2,Diamonds,Q,Spades,5,Hearts,9,Two Pair,0
Player 2 Game 4011,Clubs,Q,Diamonds,5,Spades,Q,Diamonds,2,Diamonds,Q,Spades,5,Hearts,9,Full House,1
Player 1 Game 4012,Diamonds,9,Spades,7,Clubs,3,Spades,K,Hearts,K,Clubs,9,Spades,Q,Two Pair,0
Player 2 Game 4012,Diamonds,Q,Spades,10,Clubs,3,Spades,K,Hearts,K,Clubs,9,Spades,Q,Two Pair,1
Player 1 Game 4013,Diamonds,5,Hearts,7,Spades,K,Hearts,5,Hearts,6,Clubs,9,Clubs,6,Two Pair,0
Player 2 Game 4013,Diamonds,6,Diamonds,3,Spades,K,Hearts,5,Hearts,6,Clubs,9,Clubs,6,Three of a Kind,1
Player 1 Game 4014,Hearts,3,Spades,2,Spades,J,Hearts,9,Diamonds,Q,Spades,8,Clubs,2,One Pair,1
Player 2 Game 4014,Clubs,6,Diamonds,5,Spades,J,Hearts,9,Diamonds,Q,Spades,8,Clubs,2,High Card,0
Player 1 Game 4015,Clubs,6,Clubs,4,Diamonds,7,Spades,3,Hearts,J,Diamonds,3,Diamonds,5,Straight,1
Player 2 Game 4015,Clubs,Q,Spades,A,Diamonds,7,Spades,3,Hearts,J,Diamonds,3,Diamonds,5,One Pair,0
Player 1 Game 4016,Spades,6,Clubs,3,Hearts,K,Spades,2,Clubs,4,Spades,K,Spades,3,Two Pair,1
Player 2 Game 4016,Clubs,J,Spades,A,Hearts,K,Spades,2,Clubs,4,Spades,K,Spades,3,One Pair,0
Player 1 Game 4017,Clubs,8,Hearts,3,Hearts,6,Clubs,3,Diamonds,6,Diamonds,9,Spades,8,Two Pair,1
Player 2 Game 4017,Spades,4,Clubs,Q,Hearts,6,Clubs,3,Diamonds,6,Diamonds,9,Spades,8,One Pair,0
Player 1 Game 4018,Diamonds,7,Diamonds,9,Clubs,J,Spades,8,Spades,3,Clubs,K,Diamonds,A,High Card,1
Player 2 Game 4018,Hearts,7,Diamonds,4,Clubs,J,Spades,8,Spades,3,Clubs,K,Diamonds,A,High Card,0
Player 1 Game 4019,Diamonds,Q,Hearts,3,Spades,10,Clubs,9,Clubs,6,Clubs,A,Hearts,Q,One Pair,0
Player 2 Game 4019,Spades,9,Spades,6,Spades,10,Clubs,9,Clubs,6,Clubs,A,Hearts,Q,Straight,1
Player 1 Game 4020,Spades,7,Hearts,8,Diamonds,2,Hearts,2,Hearts,Q,Clubs,Q,Clubs,7,Two Pair,1
Player 2 Game 4020,Diamonds,J,Diamonds,3,Diamonds,2,Hearts,2,Hearts,Q,Clubs,Q,Clubs,7,Two Pair,0
Player 1 Game 4021,Spades,8,Diamonds,10,Clubs,6,Hearts,Q,Hearts,4,Hearts,A,Spades,4,One Pair,1
Player 2 Game 4021,Clubs,9,Hearts,8,Clubs,6,Hearts,Q,Hearts,4,Hearts,A,Spades,4,One Pair,0
Player 1 Game 4022,Diamonds,7,Clubs,J,Diamonds,J,Hearts,6,Diamonds,8,Hearts,A,Hearts,2,One Pair,1
Player 2 Game 4022,Clubs,5,Diamonds,5,Diamonds,J,Hearts,6,Diamonds,8,Hearts,A,Hearts,2,One Pair,0
Player 1 Game 4023,Clubs,K,Clubs,9,Hearts,K,Spades,10,Hearts,6,Spades,5,Clubs,6,Two Pair,1
Player 2 Game 4023,Spades,3,Hearts,8,Hearts,K,Spades,10,Hearts,6,Spades,5,Clubs,6,One Pair,0
Player 1 Game 4024,Clubs,A,Clubs,8,Hearts,10,Spades,9,Diamonds,6,Hearts,K,Spades,8,One Pair,0
Player 2 Game 4024,Diamonds,K,Spades,3,Hearts,10,Spades,9,Diamonds,6,Hearts,K,Spades,8,One Pair,1
Player 1 Game 4025,Diamonds,Q,Diamonds,4,Clubs,6,Hearts,8,Clubs,10,Clubs,J,Hearts,4,One Pair,0
Player 2 Game 4025,Spades,5,Diamonds,7,Clubs,6,Hearts,8,Clubs,10,Clubs,J,Hearts,4,Straight,1
Player 1 Game 4026,Clubs,7,Spades,3,Hearts,Q,Hearts,5,Diamonds,J,Clubs,8,Clubs,2,High Card,0
Player 2 Game 4026,Hearts,4,Diamonds,2,Hearts,Q,Hearts,5,Diamonds,J,Clubs,8,Clubs,2,One Pair,1
Player 1 Game 4027,Hearts,6,Spades,2,Diamonds,7,Clubs,K,Clubs,9,Diamonds,5,Hearts,8,Straight,1
Player 2 Game 4027,Clubs,5,Spades,A,Diamonds,7,Clubs,K,Clubs,9,Diamonds,5,Hearts,8,One Pair,0
Player 1 Game 4028,Hearts,Q,Spades,7,Clubs,7,Hearts,5,Spades,Q,Hearts,K,Hearts,2,Two Pair,0
Player 2 Game 4028,Diamonds,K,Diamonds,2,Clubs,7,Hearts,5,Spades,Q,Hearts,K,Hearts,2,Two Pair,1
Player 1 Game 4029,Hearts,5,Clubs,J,Hearts,9,Diamonds,Q,Diamonds,J,Spades,8,Hearts,2,One Pair,1
Player 2 Game 4029,Spades,2,Spades,7,Hearts,9,Diamonds,Q,Diamonds,J,Spades,8,Hearts,2,One Pair,0
Player 1 Game 4030,Hearts,5,Clubs,A,Hearts,J,Diamonds,6,Clubs,Q,Diamonds,5,Spades,8,One Pair,1
Player 2 Game 4030,Clubs,3,Clubs,10,Hearts,J,Diamonds,6,Clubs,Q,Diamonds,5,Spades,8,High Card,0
Player 1 Game 4031,Spades,J,Diamonds,2,Clubs,2,Clubs,9,Diamonds,4,Hearts,3,Hearts,Q,One Pair,0
Player 2 Game 4031,Hearts,2,Hearts,K,Clubs,2,Clubs,9,Diamonds,4,Hearts,3,Hearts,Q,One Pair,1
Player 1 Game 4032,Hearts,3,Hearts,5,Spades,8,Clubs,9,Diamonds,4,Hearts,4,Spades,7,One Pair,0
Player 2 Game 4032,Hearts,8,Diamonds,J,Spades,8,Clubs,9,Diamonds,4,Hearts,4,Spades,7,Two Pair,1
Player 1 Game 4033,Diamonds,7,Hearts,9,Clubs,4,Clubs,2,Clubs,5,Hearts,Q,Clubs,Q,One Pair,0
Player 2 Game 4033,Diamonds,K,Clubs,J,Clubs,4,Clubs,2,Clubs,5,Hearts,Q,Clubs,Q,Flush,1
Player 1 Game 4034,Diamonds,5,Diamonds,2,Spades,J,Diamonds,6,Hearts,2,Clubs,8,Spades,A,One Pair,1
Player 2 Game 4034,Clubs,3,Spades,4,Spades,J,Diamonds,6,Hearts,2,Clubs,8,Spades,A,High Card,0
Player 1 Game 4035,Spades,7,Spades,6,Clubs,7,Hearts,9,Clubs,J,Spades,Q,Diamonds,2,One Pair,1
Player 2 Game 4035,Clubs,3,Diamonds,3,Clubs,7,Hearts,9,Clubs,J,Spades,Q,Diamonds,2,One Pair,0
Player 1 Game 4036,Clubs,J,Hearts,9,Diamonds,6,Diamonds,7,Hearts,10,Spades,7,Spades,K,One Pair,0
Player 2 Game 4036,Hearts,8,Spades,10,Diamonds,6,Diamonds,7,Hearts,10,Spades,7,Spades,K,Two Pair,1
Player 1 Game 4037,Diamonds,2,Spades,A,Clubs,Q,Clubs,2,Spades,Q,Hearts,A,Hearts,8,Straight,1
Player 2 Game 4037,Diamonds,5,Diamonds,J,Clubs,Q,Clubs,2,Spades,Q,Hearts,A,Hearts,8,One Pair,0
Player 1 Game 4038,Hearts,2,Hearts,6,Spades,8,Spades,A,Diamonds,10,Spades,4,Hearts,A,One Pair,0
Player 2 Game 4038,Hearts,4,Clubs,10,Spades,8,Spades,A,Diamonds,10,Spades,4,Hearts,A,Two Pair,1
Player 1 Game 4039,Hearts,6,Diamonds,K,Clubs,J,Diamonds,6,Hearts,J,Clubs,6,Hearts,8,Full House,1
Player 2 Game 4039,Spades,8,Spades,5,Clubs,J,Diamonds,6,Hearts,J,Clubs,6,Hearts,8,Two Pair,0
Player 1 Game 4040,Hearts,2,Diamonds,Q,Clubs,K,Spades,4,Hearts,10,Hearts,9,Clubs,6,High Card,0
Player 2 Game 4040,Spades,Q,Hearts,8,Clubs,K,Spades,4,Hearts,10,Hearts,9,Clubs,6,High Card,1
Player 1 Game 4041,Hearts,5,Clubs,4,Diamonds,6,Spades,10,Clubs,A,Diamonds,Q,Spades,4,Straight,1
Player 2 Game 4041,Clubs,9,Diamonds,A,Diamonds,6,Spades,10,Clubs,A,Diamonds,Q,Spades,4,One Pair,0
Player 1 Game 4042,Hearts,2,Spades,5,Clubs,A,Spades,6,Diamonds,2,Hearts,6,Clubs,9,Two Pair,1
Player 2 Game 4042,Hearts,K,Hearts,3,Clubs,A,Spades,6,Diamonds,2,Hearts,6,Clubs,9,One Pair,0
Player 1 Game 4043,Spades,6,Hearts,8,Clubs,3,Spades,J,Clubs,K,Spades,4,Spades,7,High Card,0
Player 2 Game 4043,Hearts,10,Hearts,A,Clubs,3,Spades,J,Clubs,K,Spades,4,Spades,7,High Card,1
